feature__id,eventtype,alertlevel,country,eventname,glide,ring_index,vertex_index,x,y
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.7548,7.1418
,EQ,Green,Indonesia,,,0,0,129.544,-6.9375
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.8738,7.1952
,EQ,Green,Micronesia,,,0,0,141.5675,11.4553
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.89,6.9978
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,127.0224,7.1851
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.7558,7.1969
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.9429,7.0924
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.849,7.009
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,127.0366,7.1656
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.8412,6.9097
,EQ,Green,El Salvador,,,0,0,-87.8711,13.1742
,EQ,Green,El Salvador,,,0,0,-87.8711,13.1742
,EQ,Green,Indonesia,,,0,0,133.9173,-5.0896
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.9866,7.1838
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.9228,6.8213
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,127.0765,6.8017
,EQ,Green,Papua New Guinea,,,0,0,148.9217,-3.2018
,EQ,Green,United States,,,0,0,-160.0759,54.5371
,EQ,Green,Indonesia,,,0,0,102.0061,-2.1054
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.7912,7.2695
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.8218,7.0638
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.8338,7.127
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.7917,7.1171
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.9212,6.914
,EQ,Green,"Southwest Of Sumatera, Indonesia",,,0,0,102.5355,-7.3482
,EQ,Green,Bismarck Sea,,,0,0,148.5616,-3.3261
,EQ,Green,South Of Fiji Islands,,,0,0,-177.0863,-24.0734
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.7969,6.9947
,EQ,Green,Papua New Guinea,,,0,0,147.9689,-3.0262
,EQ,Green,Philippines,,EQ-2025-000189-PHL,0,0,126.8879,7.1014
,EQ,Orange,Philippines,,EQ-2025-000189-PHL,0,0,126.7545,7.2649
,EQ,Green,Myanmar,,,0,0,93.7187,18.5183
,EQ,Green,Papua New Guinea,,,0,0,142.0279,-3.7446
,EQ,Green,Vanuatu,,,0,0,167.4705,-15.3721
,TC,Green,Japan,HALONG-25,,0,0,149.9,34.1
,EQ,Green,Russia,,,0,0,158.4334,51.5117
,EQ,Green,Southwest Of Africa,,,0,0,14.3796,-52.2529
,TC,Green,,OCTAVE-25,,0,0,-110.5,17.7
,EQ,Green,Southwest Of Africa,,,0,0,14.4213,-52.0662
,EQ,Green,Russian Federation,,,0,0,158.212,51.686
,EQ,Green,South Of Kermadec Islands,,,0,0,-178.7133,-33.9818
,FL,Green,Georgia,,,0,0,46.2738235,41.8242785
,EQ,Orange,China,,EQ-2025-000188-CHN,0,0,99.92,30.9113
,FL,Green,Romania,,,0,0,26.2449077,44.5017074
,FL,Orange,India,,FL-2025-000171-IND,0,0,76.6203330691771,31.3677822
,FL,Green,Bulgaria,,,0,0,27.8100651,42.703969
,FL,Green,China,,,0,0,106.8507445,22.3463347
,EQ,Green,Vanuatu,,,0,0,168.7851,-19.3493
,EQ,Green,Türkiye,,,0,0,29.0904,39.2473
,EQ,Green,United States,,,0,0,-175.2508,51.5537
,EQ,Green,Russian Federation,,,0,0,159.7713,53.1995
,EQ,Green,Russia,,,0,0,159.1202,52.812
,EQ,Green,Mexico,,,0,0,-92.068,13.8993
,EQ,Green,Mexico,,,0,0,-92.1134,13.7168
,FL,Green,Chad,,,0,0,17.5841771273318,8.72751
,EQ,Green,Russian Federation,,,0,0,157.2017,51.0538
